id,faq_topic_id,question,seo_name,answer,alternate_words,is_top_faq,sort,activate,deactivate,is_active,published,sequence
45,2,Will I be billed for service if my account has been suspended for non-payment?,Will-I-be-billed-for-service-if-my-account-has-been-suspended-for-nonpayment,Yes.&nbsp;You may continue to be charged for service while your account is suspended.&nbsp; Upon reinstatement of your account^ you must pay the past due balance^ if applicable.,account suspended^ account suspension^ past due balance^ past due^ billing^ bill pay,0,835,11/20/06 0:00,NULL,1,7/26/10 11:20,11
46,3,How do I pay my bill each month?,How-do-I-pay-my-bill-each-month,Cricket customers have several options to pay for their service each month: <strong>Automatic Bill Payment </strong> With this option^ you won't have to worry about mailing a payment or standing in line. Cricket automatically deducts your account balance right from your credit card^ debit card^ or bank account each month. <a href="http://account.mycricket.com">Sign up today</a> and you may be eligible to receive a service credit on your next bill. To enroll go to My Account via the mobile web or tap on the My Account icon (looks like a money bag) on your phone's home screen and click "Auto Bill Pay". <strong>On Device </strong>Payments can be made using <a href="https://account.mycricket.com/">My Account</a> on your Cricket phone anywhere^ anytime and there are never any payment service fees. Simply go to My Account via the mobile web or tap on the My Account icon (looks like a money bag) on your phone's home screen and click "Pay My Bill".<strong>Online Payment </strong>Payments can be made through the <a href="https://account.mycricket.com/">My Account</a> section of <a href="http://www.mycricket.com/">mycricket.com</a><strong></strong><strong>Automated System  </strong>Make a payment using a check or credit card by dialing 1-800-CRICKET. This service is available 24 hours a day and subject to a $2 processing fee.<strong>Authorized Payment Locations  </strong>Visit an <a href="https://account.mycricket.com/cricketlocations/">Authorized Payment Location</a> to pay a bill or unsuspend/unhotline service in 30 minutes or less (available 6 a.m. to 6 p.m. Pacific Time). Most <a href="https://account.mycricket.com/cricketlocations/">Authorized Payment Locations</a> only accept cash payments. Please have your Cricket phone number when you pay your bill in person. Payment subject to $3 processing fee. Find an <a href="https://account.mycricket.com/cricketlocations/">Authorized Payment Location</a> near you.<strong>Mail  </strong>You may send a personal check or money order with your remit slip at the bottom of your Cricket bill to the following address:<table border="1" cellspacing="0" cellpadding="0" width="387"><tbody><tr><td width="345" valign="bottom">Cricket   Communications</td></tr><tr><td width="345" valign="bottom">P.O.   Box 660747</td></tr><tr><td width="345" valign="bottom">Dallas^   TX 75266 - 0747</td></tr></tbody></table>There is no payment fee associated with this payment method. Processing of mail payments can take up to 7-10 business days before payment posts to your Cricket account. To help ensure timely payment processing^ please remember to write your account number on your check or money order. If you do not have your account number available^ call *611 or 1-800-CRICKET to obtain it. If payment is not received by the due date^ your phone service will be suspended and you may be charged a $10 reinstatement fee if you would like to continue your service.&nbsp;,pay bill^ PAY BILL^ BILL^ bill^ pay for service^ bill payment^ pay my bill^ PAY MY BILL^ account management^ pay online^ pay by phone^ billing inquiry^ billing inquiries^ billing question^ billing questions^ abp^ pay bill^ paybill^ bill pay^ pay bill^ paybill^ mycricket.com. mycricket^ buscar^ micricket^ micricket.com,1,78,7/30/12 0:00,NULL,1,7/26/12 12:21,1
47,3,What types of credit/debit cards can I use to pay my bill?,What-types-of-creditdebit-cards-can-I-use-to-pay-my-bill,Cricket accepts Visa^ MasterCard^ Discover and American Express credit card payments.  Cricket will also accept Visa and MasterCard debit card payments^ as well as ATM cards with the Star^ NYCE^ Pulse^ Accel logos on the back.,pay bill^ PAY BILL^ BILL^ bill^ pay for service^ bill payment^ pay my bill^ PAY MY BILL^ payment^ bill pay^ credit card^ credit cards^ debit card^ debit cards^ accepted credit cards^ accepted debit cards^ methods of bill pay^ methods of bill payment,0,1117,11/20/06 0:00,NULL,1,3/7/11 19:55,11
48,201,How do I sign up for Automatic Bill Payment?,How-do-I-sign-up-for-Automatic-Bill-Payment,<span style="font-size: 7.5pt; font-family: Verdana^ sans-serif;">Signing up for Auto Bill Pay is quick and easy:</span><span style="font-size: 7.5pt; font-family: Verdana^ sans-serif;">1. On Your Cricket Phone</span><span style="font-size: 7.5pt; font-family: Verdana^ sans-serif;">You can sign up for the Auto Bill Pay using My Account on your device.&nbsp; To enroll^ go to My Account via the mobile web or tap on the My Account icon (looks like a money bag) on your phone&rsquo;s home screen.&nbsp; Click on &ldquo;Auto Bill Pay&rdquo; and select &ldquo;Sign Up for Auto Bill Payment Now.&rdquo;&nbsp; Once you have completed enrollment and accepted the terms and conditions^ you will receive an enrollment confirmation.</span>2. Sign up online on your&nbsp;<a href="http://account.mycricket.com">mycricket.com My Account</a><span style="font-size: 7.5pt; font-family: Verdana^ sans-serif;">3. Simply call *PAY (*729) from your Cricket phone.</span><span style="font-size: 7.5pt; font-family: Verdana^ sans-serif;">4. Call 1-800-CRICKET</span><span style="font-size: 7.5pt; font-family: Verdana^ sans-serif;">When signing up over the phone^ whether using the automated system or a live Care Agent^ at the end of the process you will be transferred to a special message where you will hear terms and conditions that you will need to accept to authorize Cricket to charge your credit card^ debit card or bank account each month.</span>,pay bill^ PAY BILL^ BILL^ bill^ pay for service^ bill payment^ pay my bill^ PAY MY BILL^ account management^ billing inquiry^ billing inquiries^ auto bill pay^ automatic bill pay^ abp,0,628,7/30/12 0:00,NULL,1,7/26/12 12:45,2
49,201,What types of credit/debit cards can I use with Automatic Bill Payment?,What-types-ofandnbspcreditdebit-cardsandnbspcan-I-use-with-Automatic-Bill-Payment,Automatic Bill Payment can be set up with following:<table style="BORDER-RIGHT: medium none; BORDER-TOP: medium none; BORDER-LEFT: medium none; BORDER-BOTTOM: medium none; BORDER-COLLAPSE: collapse" border="1" cellspacing="0" cellpadding="0"><tbody><tr><td style="border: 1pt solid windowtext; padding: 0in 5.4pt; width: 221.4pt; background-color: transparent;" width="295" valign="top"><div style="MARGIN: 0in 0in 0pt"><strong><span style="font-size: x-small;">Credit Card</span></strong></div></td><td style="padding: 0in 5.4pt; width: 221.4pt; background-color: transparent;" width="295" valign="top"><div style="MARGIN: 0in 0in 0pt"><strong><span style="font-size: x-small;">Debit Card</span></strong></div></td></tr><tr><td style="padding: 0in 5.4pt; width: 221.4pt; background-color: transparent;" width="295" valign="top"><ul style="MARGIN-TOP: 0in" type="disc"><li style="MARGIN: 0in 0in 0pt"><span style="font-size: x-small;">Visa</span> </li><li style="MARGIN: 0in 0in 0pt"><span style="font-size: x-small;">MasterCard</span> </li><li style="MARGIN: 0in 0in 0pt"><span style="font-size: x-small;">Discover</span> </li><li style="MARGIN: 0in 0in 0pt"><span style="font-size: x-small;">American Express</span> </li></ul></td><td style="padding: 0in 5.4pt; width: 221.4pt; background-color: transparent;" width="295" valign="top"><ul style="MARGIN-TOP: 0in" type="disc"><li style="MARGIN: 0in 0in 0pt"><span style="font-size: x-small;">Visa </span></li><li style="MARGIN: 0in 0in 0pt"><span style="font-size: x-small;">MasterCard</span></li><li style="MARGIN: 0in 0in 0pt"><span style="font-size: x-small;">Star</span></li><li style="MARGIN: 0in 0in 0pt"><span style="font-size: x-small;">NYCE</span></li><li style="MARGIN: 0in 0in 0pt"><span style="font-size: x-small;">Pulse</span></li><li style="MARGIN: 0in 0in 0pt"><span style="font-size: x-small;">Accel</span></li></ul></td></tr></tbody></table><table border="1" cellspacing="0" cellpadding="0"><tbody><tr><td style="border: 1pt solid windowtext; padding: 0in 5.4pt; width: 221.4pt; background-color: transparent;" width="295" valign="top"><div style="margin: 0in 0in 0pt;"><strong><span style="font-size: x-small;">Bank Account</span></strong></div></td></tr><tr><td style="padding: 0in 5.4pt; width: 221.4pt; background-color: transparent;" width="295" valign="top"><ul style="margin-top: 0in;" type="disc"><li style="margin: 0in 0in 0pt;"><span style="font-size: x-small;">Checking Account</span></li></ul></td></tr></tbody></table>,pay bill^ PAY BILL^ BILL^ bill^ pay for service^ bill payment^ pay my bill^ PAY MY BILL^ auto bill pay^ automatic bill pay^ accepted credit cards^ accepted debit cards^ credit card^ debit card^ abp,0,658,11/20/06 0:00,NULL,1,3/7/11 20:08,4
50,201,How do I cancel my Automatic Bill Payment?,How-do-I-cancel-my-Automatic-Bill-Payment,<strong>On Device</strong>You can un-enroll in Auto Bill Payment using your device.&nbsp; To un-enroll^ go to My Account via the mobile web or tap on the My Account icon (looks like a money bag) on your phone&rsquo;s home screen.&nbsp; Click on &ldquo;Auto Bill Pay&rdquo; and select &ldquo;Un-enroll&rdquo;.<strong>1-800-Cricket</strong>You can discontinue the Automatic Bill Payment option by calling 1-800-CRICKET&reg;.,pay bill^ PAY BILL^ BILL^ bill^ pay for service^ bill payment^ pay my bill^ PAY MY BILL^ account management^ auto bill pay^ ^automatic bill payment^ abp^ stop automatic bill pay,0,634,7/30/12 0:00,NULL,1,7/26/12 12:47,3
51,3,What is an Authorized Payment Location (APL)?,What-is-an-Authorized-Payment-Location-APL,An Authorized Payment Location (APL)&nbsp;is a retail location that is authorized to take your Cricket payments.&nbsp; Click on the link to locate an <a href="http://account.mycricket.com/cricketlocations">Authorized Payment Location</a> near you.,pay bill^ PAY BILL^ BILL^ bill^ pay for service^ bill payment^ pay my bill^ PAY MY BILL^ payment^ bill pay^,0,1112,11/20/06 0:00,NULL,1,9/28/09 17:05,8
52,3,Where is my nearest Authorized Payment Location (APL)?,Where-is-my-nearest-Authorized-Payment-Location-APL,<a href="http://account.mycricket.com/cricketlocations/">Click here</a> to find the Authorized Payment Location nearest to you.,pay bill^ PAY BILL^ BILL^ bill^ pay for service^ bill payment^ pay my bill^ PAY MY BILL^ payment^ bill pay^,0,1113,11/20/06 0:00,NULL,1,9/28/09 17:05,9
53,3,Can I add a recurring dollar amount each month to pay for optional features and services?,Can-I-add-a-recurring-dollar-amount-each-month-to-pay-for-optional-features-and-services,Yes.&nbsp; Cricket customers&nbsp;can purchase&nbsp;$5.00 or&nbsp;$15.00 of monthly Flex Bucket funds and have it charged as part of your monthly Cricket service.&nbsp;You can add this feature two ways:1. Log into <a href="http://account.mycricket.com">My Account</a> and click the &quot;Add New Features&quot; link on the right-hand side. Then select the&nbsp;amount of Flex Bucket funds that you would like to&nbsp;automatically purchase every&nbsp;month.2.&nbsp;Call 1-800-CRICKET to speak with a Customer Service Representative about adding this service.,pay bill^ PAY BILL^ BILL^ bill^ pay for service^ bill payment^ pay my bill^ PAY MY BILL^ customer support^ Flex Bucket^ Flex Bucket funds^ Flex Bucket add on^ Flex Bucket add-ons^ Flex Bucket add-on^ Flex Bucket monthly service,0,1111,11/20/06 0:00,NULL,1,9/28/09 17:05,14
54,4,How are taxes determined on my bill?,How-are-taxes-determined-on-my-bill,Federal^ state and local governments often impose taxes^ fees and surcharges on wireless carriers. Those taxes^ fees and charges may vary depending on your rate plan and&nbsp;the particular jurisdiction in which the handset is used. The types of services that are taxed and the applicable tax rates are based upon the taxing jurisdiction assigned to your account.,taxes^ bill taxes^ sales tax^ sales taxes^ tax jurisdiction^ taxing jurisdiction,0,1215,11/20/06 0:00,NULL,1,7/26/10 10:24,6
55,4,How is taxing jurisdiction determined on my bill?,How-is-taxing-jurisdiction-determined-on-my-bill,The Federal Mobile Telecommunications Sourcing Act requires telecommunications companies to tax customers based on the customer's primary place of use^ which must be their residential or business address that is located within Cricket's licensed service area. This address is assigned to a taxing jurisdiction based on local government boundary information.If you have questions about the purpose of any of the taxes or fees that appear on your bill^ we suggest that you call your appropriate federal^ state^ or local government official.,taxes^ bill taxes^ bill charges^ bill fees^ tax,0,1217,11/20/06 0:00,NULL,1,9/28/09 17:05,7
56,4,Does Cricket charge a late payment fee?,Does-Cricket-charge-a-late-payment-fee,No. Cricket does not charge a traditional late payment fee.&nbsp; However^ Cricket customers who do not pay for their service on or before their designated due date run the risk of having their service suspended.,late fee^ late payment^ late payment fee^ past due^ past due bill^ past due fee^ fees^ bill fee,0,1214,11/20/06 0:00,NULL,1,7/26/10 10:24,3
57,4,My account was suspended.  Is there a fee to reactivate my service?,My-account-was-suspendedandnbsp-Is-there-a-fee-to-reactivate-my-service,No. Cricket does not charge a reinstatement fee.,reactivation fee^ re-activation fee^ account suspended^ account suspension^ reinstatement fee^ reactivate^ reactivation^ reinstatement^ activation^ reactivate^ reconnect^ reconnect service,0,1219,11/20/06 0:00,NULL,1,7/26/10 10:28,5
58,4,Does Cricket report late payments to the Credit Bureaus?,Does-Cricket-report-late-payments-to-the-Credit-Bureaus,No.&nbsp; Cricket does not report payment history to any credit reporting agency.,credit bureau^ late payment^ late payment reporting^ credit agency^ credit reporting^ credit reporting agency,0,1216,11/20/06 0:00,NULL,1,9/28/09 17:05,4
59,4,What is the Federal Universal Service Fund (Federal USF) surcharge?,What-is-the-Federal-Universal-Service-Fund-Federal-USF-surcharge,The Federal Universal Service Fund is a fund that was established by the U.S. government and is used to subsidize basic telephone service for people with low incomes and those who live in rural areas. It is also used to provide Internet connections^ landline handsets and mobile handsets to schools and libraries. The U.S. government imposes a fee on telecommunications carriers to fund the program. In addition^ some states also operate their own universal service funds^ for which you may see a charge.,federal charge^ bill fee^ bill charge^ federal subsidy,0,1221,11/20/06 0:00,NULL,1,9/28/09 17:05,8
60,4,Why does the Federal USF surcharge change from time-to-time?,Why-does-the-Federal-USF-surcharge-change-from-timetotime,The federal government revises the amount that companies are required to pay into the Federal USF each quarter. As a result^ the amount we recover from customers may need to be adjusted on a quarterly basis. ,bill fee^ federal fee^ federal fee change^ bill charge^,0,1223,11/20/06 0:00,NULL,1,9/28/09 17:05,9
61,4,What is the E911 fee?,What-is-the-E911-fee,In some states^ Cricket is required by the state or county government to impose a monthly charge for Enhanced 911 (E911). This fee is used to fund computer software and hardware upgrades for public safety answering points to locate a caller who dials 911. This functionality is not yet available in many states.,emergency 911^ 911 fee^ emergency 911 fee^,0,1220,11/20/06 0:00,NULL,1,9/28/09 17:05,10
62,4,Is there a fee to transfer my wireless number from another carrier to Cricket?,Is-there-a-fee-to-transfer-my-wireless-number-from-another-carrier-to-Cricket,Currently^ there are no fees associated with porting any individual number to Cricket.,transferring to Cricket^ transfer^ transfer to cricket^ transfer fee^ other carrier^ porting^ porting cost^,0,1218,11/20/06 0:00,NULL,1,9/28/09 17:05,2
64,3,What should I do if I made a payment at an Authorized Payment Location but it has not been credited to my account?,What-should-I-do-if-I-made-a-payment-at-an-Authorized-Payment-Location-but-it-has-not-been-credited-to-my-account,When making a payment at an <a href="https://account.mycricket.com/cricketlocations/">Authorized Payment Location</a>^ please allow up to 30 minutes for the payment to post to your account.&nbsp; Reinstatement of service will not take place prior to this time. If it has been longer than 30 minutes^ please take your payment receipt back to the <a href="https://account.mycricket.com/cricketlocations/">Authorized Payment Location</a> where you made your payment and ask them to verify that your payment was processed correctly. If you are unable to gain resolution^ you must visit your nearest <a href="http://account.mycricket.com/cricketlocations">Cricket store</a> with your receipt for further assistance.,payment^ bill payment^ bill pay^ pay bill^ my account^ account credit^ credit^ billing issue,0,1115,11/20/06 0:00,NULL,1,4/11/11 8:39,10
66,3,What should I do if I made a credit^ debit or check payment over the phone but it has not been credited to my account?,What-should-I-do-if-I-made-a-credit-debit-or-check-payment-over-the-phone-but-it-has-not-been-credited-to-my-account,When making a payment over the phone^ please allow up to 30 minutes for the payment to post to your account. Reinstatement of service will not take place prior to this time. If it has been longer than 30 minutes^ please visit your nearest <a href="http://account.mycricket.com/cricketlocations">Cricket Store</a> for further assistance.  You must provide them with the credit/debit card number or bank statement showing this debit from your account and/or the checking account number and routing number^ found on the bottom of the check that was used to make this payment.,bill pay^ bill payment^ my account^ billing issue^ pay by check^ phone payment^ credit account,0,1114,11/20/06 0:00,NULL,1,4/11/11 8:40,15
68,6,Can I get a refund for dropped calls?,Can-I-get-a-refund-for-dropped-calls,No.&nbsp; Refunds or credits will not be given for dropped calls.,dropped call^ dropped calls^ dropped call refund^ dropped calls refund^ refund^ drop a line,0,689,11/20/06 0:00,NULL,1,9/1/11 10:28,7
69,6,Can I get a refund for Directory Assistance calls if I was given the wrong number?,Can-I-get-a-refund-for-Directory-Assistance-calls-if-I-was-given-the-wrong-number,Yes. Please contact our Customer Service department by calling 1-800-CRICKET and you will be given a credit. (This only applies to customers that do not have Directory Assistance).,directory assistance refund^ 411 refund^ DA^ directory assistance^ 411,0,688,11/20/06 0:00,NULL,1,3/12/13 13:08,6
70,6,I havenâ€™t received my mail-in rebate yet.Â  What should I do?,I-havenandrsquot-received-my-mailin-rebate-yetandnbsp-What-should-I-do,You can check your <a href="http://account.mycricket.com/myaccount/rebates.php/">rebate</a> status in the <a href="https://account.mycricket.com/">My Account</a> section of this website.,mailin rebate^ mail in rebate^ rebates^ mail-in rebate^ rebate^ rbt,0,693,11/20/06 0:00,NULL,1,3/8/12 9:28,19
71,6,If I discontinue my service in the middle of the month^ will I receive a refund?,If-I-discontinue-my-service-in-the-middle-of-the-month-will-I-receive-a-refund,Cricket does not issue refunds^ in whole or in part of your 30-day bill cycle because Cricket offers unlimited minutes per month. After you have entered into your next 30 days of service^ you are responsible for payment of that full 30-day bill cycle. Please refer to the <a href="../../termsandconditions">Terms and Conditions</a> of Cricket service for further information.,service refund^ refunds for service^ refund^ refunds^,0,695,11/20/06 0:00,NULL,1,4/11/11 9:07,9
72,6,Can I receive a refund on ringtones^ graphics^ games or other downloadable applications?,Can-I-receive-a-refund-on-ringtones-graphics-games-or-other-downloadable-applications,No. Cricket does not offer refunds on&nbsp;downloadable&nbsp;applications.,cricket clicks^ games and apps^ Cricket Clicks^ Games and Apps^ downloads^ ringtones^ games^ graphics^ wall paper^ wallpaper^ ring tones^ ringback tones^ ringbacks^ ring tone refund^ ringtone refund^ ringback tone refund^ refund,0,690,11/20/06 0:00,NULL,1,9/28/09 17:05,8
73,6,I lost my gift card.&nbsp; Can I get a refund?,I-lost-my-gift-cardandnbsp-Can-I-get-a-refund,Refunds will not be given for lost or stolen gift cards.,gift card^ gift cards^ gift card refund^ gift cards refund^ refund,0,694,11/20/06 0:00,NULL,1,9/28/09 17:05,10
74,7,Who we are?,What-we-are,Cricket is the pioneer and leader in delivering innovative value-rich prepaid wireless services with no long-term contracts serving more than 6 million customers.Cricket offers wireless voice and mobile data services over the latest^ high-quality^ all-digital 4G (LTE) and 3G CDMA wireless networks. In 2011^ Cricket launched its award-winning Muve Music&reg; product^ the first music service designed for a wireless phone that now has approximately 600^000 customers. Cricket's innovative products and services are available at Cricket branded retail stores^ dealers^ national retailers and at www.mycricket.com.Cricket&rsquo;s wireless voice service plans include nationwide anytime minutes^&nbsp; U.S. long distance^&nbsp; text and picture messaging^ international long distance^ Mobile Web^ directory assistance^ as well as a variety of calling features and feature-rich mobile applications such as popular games^ ringtones and wallpapers.Cricket Broadband provides Internet access anywhere within Cricket&rsquo;s coverage areas.,cricket^ cricket wireless^ cricket wireless service^ verizion^ sprint^ metro pcs^ att^ at&amp;t^ boost^ boost mobile^ nextel^ wireless,0,571,11/20/06 0:00,NULL,1,5/15/12 13:09,1
75,7,How can I find out about employment opportunities with Cricket?,How-can-I-find-out-about-employment-opportunities-with-Cricket,Cricket is always looking for qualified individuals to join our team.&nbsp; <a href="../../careers/">Click here</a> to learn more about jobs at Cricket and to&nbsp;search&nbsp;for open positions in your area. ,employment^ jobs^ cricket job^ cricket jobs^ jobs at cricket^ carrers^ carreers^,0,576,11/20/06 0:00,NULL,1,5/15/12 13:28,5
76,7,What are Cricket's Customer Service hours?,What-are-Crickets-Customer-Service-hours,Monday through Friday: 7:00 AM - 11:30 PM CT Saturday 7:00 AM - 11:30 PM CT Sunday 8:00AM - 11:30 PM CT,customer support^ customer service^ customer service hours^ hours of operation^ call center hours^ 1-800-CRICKET availability^ tech support^ support^ customer service^ costumer service^ custemer service,0,573,11/20/06 0:00,NULL,1,4/24/12 14:25,6
77,7,How can I contact Cricket Customer Service?,How-can-I-contact-Cricket-Customer-Service,<strong>By Phone</strong>- You can reach a Cricket Customer Service Representative by dialing *611 from your Cricket phone or calling 1-800-CRICKET.&nbsp;,contact cricket^ call cricket^ email cricket^ tech support^ support^ customer service^ costumer service^ contact us^ contact^ customer service number^ contact number^ complaint^ complaints^ discontinuing service^ custemer service^ coustmer^ disconnect^ disconect phone^ cancel^ end service^ contract^ search faqs^ search faq's^ search faq^ technical support^,1,77,11/20/06 0:00,NULL,1,5/17/12 9:05,2
78,8,What are Radio Frequency Emissions?,What-are-Radio-Frequency-Emissions,Wireless phones emit radio frequency energy during use.&nbsp; The Food and Drug Administration (&quot;FDA&quot;) and the Federal Communications Commission (&quot;FCC&quot;) regulate wireless phone safety. The FDA and the FCC have created a joint website^ &quot;Cell Phone Facts - Consumer Information on Wireless Phones^&quot; which states that &quot;[t]he available scientific evidence does not show that any health problems are associated with using wireless phones^&quot; while noting that &quot;[t]here is no proof^ however^ that wireless phones are absolutely safe.&quot; ,,0,1181,11/20/06 0:00,NULL,1,9/28/09 17:05,NULL
79,9,What is the wireless AMBER Alert Program?,What-is-the-wireless-AMBER-Alert-Program,The Wireless AMBER Alert Program is a voluntary partnership between the wireless industry^ law-enforcement agencies^ and the National Center for Missing and Exploited Children (NCMEC) to distribute an urgent bulletin in the most serious child-abduction cases.&nbsp; Consumers who opt in to this program receive the messages free of charge on their wireless devices.Cricket&reg; and other wireless carriers^ acting through CTIA-the Wireless AssociationTM^ use a central clearinghouse to distribute a description of the abducted child and suspected abductor.,,0,615,11/20/06 0:00,NULL,1,9/28/09 17:05,1
80,9,Why was the program created?,Why-was-the-program-created,Statistics show that the first three hours after abduction are most critical to recovering a child alive. Recognizing that wireless technology can help galvanize communities to expedite the search for and safe return of the child^ CTIA and its industry partners are pleased to support the AMBER Alert Plan.By joining efforts with the National Center for Missing and Exploited Children (NCMEC) and law enforcement agencies^ the Wireless AMBER Alert program will serve as the catalyst for the wireless industry's 180-million subscribers to opt-in to receive notices on their wireless devices that can aid in the safe return of an abducted child.,,0,616,11/20/06 0:00,NULL,1,9/28/09 17:05,2
81,9,When will AMBER alerts be distributed?,When-will-AMBER-alerts-be-distributed,The National Center for Missing and Exploited Children (NCMEC) will call for the transmission of AMBER Alerts when law enforcement has received notification of an abducted child and the following criteria^ recommended by the U.S. Department of Justice^ has been met:&bull;&nbsp;&nbsp;&nbsp; There is reasonable belief by law enforcement that abduction has occurred. &bull;&nbsp;&nbsp;&nbsp; The abduction is of a child age 17 years or younger. &bull;&nbsp;&nbsp;&nbsp; The law enforcement agency believes that the child is in imminent danger of serious bodily injury or death. &bull;&nbsp;&nbsp;&nbsp; There is enough descriptive information about the victim and the abduction for law enforcement to issue an AMBER Alert to assist in the recovery of the child. &bull;&nbsp;&nbsp;&nbsp; The child's name and other critical data elements including the Child Abduction flag have been entered into the National Crime Information Center (NCIC). ,,0,622,11/20/06 0:00,NULL,1,9/28/09 17:05,5
82,9,How does the AMBER alert plan work?,How-does-the-AMBER-alert-plan-work,Law enforcement initiates the primary emergency AMBER notification^ defines the geographic boundaries of the Alert notification^ and has the legal jurisdiction through the child's entry into the National Crime Information Center (NCIC) to act upon the information contained in an AMBER Alert.The Department of Justice (DOJ)^ the agency responsible for coordination of AMBER Alerts on the national level^ has asked the National Center for Missing and Exploited Children (NCMEC) to act as its agent for coordination of secondary AMBER dissemination. NCMEC's role is to receive AMBER Alerts from DOJ and disseminate those Alerts to secondary distributors^ as approved by NCMEC.Wireless AMBER Alert^ an NCMEC-approved secondary distributor^ will rapidly transmit the approximately 200-250 abducted children bulletins that are issued annually to wireless carriers to receive and deploy AMBER Alerts to their subscribers in a designated region based on zip code^ that have opted-in to receive the bulletins. Information transmitted will be the same regardless of the customer's wireless provider and make and model of their phone.,,0,617,11/20/06 0:00,NULL,1,9/28/09 17:05,12
